hour, t(sec), Frequency (Hz),Theta (Deg),Vd,PShaft,dSpeed (Deg/sec),dTheta (Deg)
0,0.001,60,41.77272,1.162586,1997999872,-0.000093,0
0,0.002,60,41.77272,1.162586,1997999872,-0.000093,0
0,0.003,60,41.77272,1.162586,1997999872,-0.000093,0
0,0.004,60,41.77272,1.162586,1997999872,-0.000093,0
0,0.005,60,41.77272,1.162586,1997999872,-0.000093,0
0,0.006,60,41.77272,1.162586,1997999872,-0.000093,0
0,0.007,60,41.77272,1.162586,1997999872,-0.000093,0
0,0.008,60,41.77272,1.162586,1997999872,-0.000093,0
0,0.009,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.01,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.011,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.012,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.013,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.014,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.015,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.016,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.017,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.018,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.019,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.02,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.021,60,41.77272,1.162586,1997999872,-0.000092,0
0,0.022,60,41.77272,1.162586,1997999872,-0.000091,0
0,0.023,60,41.77272,1.162586,1997999872,-0.000091,0
0,0.024,60,41.77272,1.162586,1997999872,-0.000091,0
0,0.025,60,41.77272,1.162586,1997999872,-0.000091,0
0,0.026,60,41.77272,1.162586,1997999872,-0.000091,0
0,0.027,60,41.77272,1.162586,1997999872,-0.000091,0
0,0.028,60,41.77272,1.162586,1997999872,-0.000091,0
0,0.029,60,41.77272,1.162586,1997999872,-0.000091,0
0,0.03,60,41.77272,1.162586,1997999872,-0.00009,0
0,0.031,60,41.77272,1.162586,1997999872,-0.00009,0
0,0.032,60,41.77272,1.162586,1997999872,-0.00009,0
0,0.033,60,41.77272,1.162586,1997999872,-0.00009,0
0,0.034,60,41.77272,1.162586,1997999872,-0.00009,0
0,0.035,60,41.77272,1.162586,1997999872,-0.00009,0
0,0.036,60,41.77272,1.162586,1997999872,-0.000089,0
0,0.037,60,41.77272,1.162586,1997999872,-0.000089,0
0,0.038,60,41.77272,1.162586,1997999872,-0.000089,0
0,0.039,60,41.77272,1.162586,1997999872,-0.000089,0
0,0.04,60,41.77272,1.162586,1997999872,-0.000089,0
0,0.041,60,41.77272,1.162586,1997999872,-0.000089,0
0,0.042,60,41.77272,1.162586,1997999872,-0.000088,0
0,0.043,60,41.77272,1.162586,1997999872,-0.000088,0
0,0.044,60,41.77272,1.162586,1997999872,-0.000088,0
0,0.045,60,41.77272,1.162586,1997999872,-0.000088,0
0,0.046,60,41.77272,1.162586,1997999872,-0.000087,0
0,0.047,60,41.77272,1.162586,1997999872,-0.000087,0
0,0.048,60,41.77272,1.162586,1997999872,-0.000087,0
0,0.049,60,41.77272,1.162586,1997999872,-0.000087,0
0,0.05,60,41.77272,1.162586,1997999872,-0.000087,0
0,0.051,60,41.77272,1.162586,1997999872,-0.000086,0
0,0.052,60,41.77272,1.162586,1997999872,-0.000086,0
0,0.053,60,41.77272,1.162586,1997999872,-0.000086,0
0,0.054,60,41.77272,1.162586,1997999872,-0.000086,0
0,0.055,60,41.77272,1.162586,1997999872,-0.000085,0
0,0.056,60,41.77272,1.162586,1997999872,-0.000085,0
0,0.057,60,41.77272,1.162586,1997999872,-0.000085,0
0,0.058,60,41.77272,1.162586,1997999872,-0.000084,0
0,0.059,60,41.77272,1.162586,1997999872,-0.000084,0
0,0.06,60,41.77272,1.162586,1997999872,-0.000084,0
0,0.061,60,41.77272,1.162586,1997999872,-0.000084,0
0,0.062,60,41.77272,1.162586,1997999872,-0.000083,0
0,0.063,60,41.77272,1.162586,1997999872,-0.000083,0
0,0.064,60,41.77272,1.162586,1997999872,-0.000083,0
0,0.065,60,41.77272,1.162586,1997999872,-0.000082,0
0,0.066,60,41.77272,1.162586,1997999872,-0.000082,0
0,0.067,60,41.77272,1.162586,1997999872,-0.000082,0
0,0.068,60,41.77272,1.162586,1997999872,-0.000081,0
0,0.069,60,41.77272,1.162586,1997999872,-0.000081,0
0,0.07,60,41.77272,1.162586,1997999872,-0.000081,0
0,0.071,60,41.77272,1.162586,1997999872,-0.00008,0
0,0.072,60,41.77272,1.162586,1997999872,-0.00008,0
0,0.073,60,41.77272,1.162586,1997999872,-0.00008,0
0,0.074,60,41.77272,1.162586,1997999872,-0.000079,0
0,0.075,60,41.77272,1.162586,1997999872,-0.000079,0
0,0.076,60,41.77272,1.162586,1997999872,-0.000079,0
0,0.077,60,41.77272,1.162586,1997999872,-0.000078,0
0,0.078,60,41.77272,1.162586,1997999872,-0.000078,0
0,0.079,60,41.77272,1.162586,1997999872,-0.000078,0
0,0.08,60,41.77272,1.162586,1997999872,-0.000077,0
0,0.081,60,41.77272,1.162586,1997999872,-0.000077,0
0,0.082,60,41.77272,1.162586,1997999872,-0.000076,0
0,0.083,60,41.77272,1.162586,1997999872,-0.000076,0
0,0.084,60,41.77272,1.162586,1997999872,-0.000076,0
0,0.085,60,41.77272,1.162586,1997999872,-0.000075,0
0,0.086,60,41.77272,1.162586,1997999872,-0.000075,0
0,0.087,60,41.77272,1.162586,1997999872,-0.000074,0
0,0.088,60,41.77272,1.162586,1997999872,-0.000074,0
0,0.089,60,41.77272,1.162586,1997999872,-0.000074,0
0,0.09,60,41.77272,1.162586,1997999872,-0.000073,0
0,0.091,60,41.77272,1.162586,1997999872,-0.000073,0
0,0.092,60,41.77272,1.162586,1997999872,-0.000072,0
0,0.093,60,41.77272,1.162586,1997999872,-0.000072,0
0,0.094,60,41.77272,1.162586,1997999872,-0.000072,0
0,0.095,60,41.77272,1.162586,1997999872,-0.000071,0
0,0.096,60,41.77272,1.162586,1997999872,-0.000071,0
0,0.097,60,41.77272,1.162586,1997999872,-0.00007,0
0,0.098,60,41.77272,1.162586,1997999872,-0.00007,0
0,0.099,60,41.77272,1.162586,1997999872,-0.000069,0
0,0.1,60,41.77272,1.162586,1997999872,-0.000069,0
0,0.101,60,41.77272,1.162586,1997999872,-0.000068,0
0,0.102,60,41.77272,1.162586,1997999872,-0.000068,0
0,0.103,60,41.77272,1.162586,1997999872,-0.000067,0
0,0.104,60,41.77272,1.162586,1997999872,-0.000067,0
0,0.105,60,41.77272,1.162586,1997999872,-0.000067,0
0,0.106,60,41.77272,1.162586,1997999872,-0.000066,0
0,0.107,60,41.77272,1.162586,1997999872,-0.000066,0
0,0.108,60,41.77272,1.162586,1997999872,-0.000065,0
0,0.109,60,41.77272,1.162586,1997999872,-0.000065,0
0,0.11,60,41.77272,1.162586,1997999872,-0.000064,0
0,0.111,60,41.77272,1.162586,1997999872,-0.000064,0
0,0.112,60,41.77272,1.162586,1997999872,-0.000063,0
0,0.113,60,41.77272,1.162586,1997999872,-0.000063,0
0,0.114,60,41.77272,1.162586,1997999872,-0.000062,0
0,0.115,60,41.77272,1.162586,1997999872,-0.000062,0
0,0.116,60,41.77272,1.162586,1997999872,-0.000061,0
0,0.117,60,41.77272,1.162586,1997999872,-0.000061,0
0,0.118,60,41.77272,1.162586,1997999872,-0.00006,0
0,0.119,60,41.77272,1.162586,1997999872,-0.00006,0
0,0.12,60,41.77272,1.162586,1997999872,-0.000059,0
0,0.121,60,41.77272,1.162586,1997999872,-0.000058,0
0,0.122,60,41.77272,1.162586,1997999872,-0.000058,0
